Urut Nasional,Urut Provinsi,Rerata,NPSN,Sekolah,Provinsi,Kota/Kab.,Jenis
805,64,"516,374",20400373,SMA NEGERI 1 SANDEN,DI Yogyakarta,Kab. Bantul,SMA
806,151,"516,314",20306811,SMK NEGERI 1 WONOSOBO,Jawa Tengah,Kab. Wonosobo,SMK
807,65,"516,295",20403182,SMAS BOPKRI 2,DI Yogyakarta,Kota Yogyakarta,SMA
808,118,"516,276",69967066,SMAIT Buahati Islamic School,DKI Jakarta,Kota Jakarta Timur,SMA
809,20,"516,272",10303781,SMAN 1 SOLOK,Sumatera Barat,Kota Solok,SMA
810,156,"516,266",20219720,SMAS DARUL HIKAM BANDUNG,Jawa Barat,Kota Bandung,SMA
811,152,"516,245",20306172,SMAN 6 PURWOREJO,Jawa Tengah,Kab. Purworejo,SMA
812,120,"516,217",20532243,SMAN 10 SURABAYA,Jawa Timur,Kota Surabaya,SMA
813,153,"516,2",20302183,SMAN 1 JATILAWANG,Jawa Tengah,Kab. Banyumas,SMA
814,4,"516,062",10107309,SMAS FATIH BILINGUAL SCHOOL,Aceh,Kota Banda Aceh,SMA
815,121,"516,053",20584134,MAN 1 BLITAR,Jawa Timur,Kab. Blitar,MA
816,154,"516,039",20320241,SMA NEGERI 2 UNGARAN,Jawa Tengah,Kab. Semarang,SMA
817,66,"516,02",20403280,SMKN 2 YOGYAKARTA,DI Yogyakarta,Kota Yogyakarta,SMK
818,155,"515,978",20300732,SMA NEGERI 1 MAJENANG,Jawa Tengah,Kab. Cilacap,SMA
819,5,"515,925",30105466,SMAN 3 SINGKAWANG,Kalimantan Barat,Kota Singkawang,SMA
820,156,"515,865",69943795,SMA Islam Al Azhar 15,Jawa Tengah,Kota Semarang,SMA
821,157,"515,862",20277242,MAS PUTRI PUI TALAGA,Jawa Barat,Kab. Majalengka,MA
822,67,"515,842",20403295,SMKN 7 YOGYAKARTA,DI Yogyakarta,Kota Yogyakarta,SMK
823,3,"515,74",50204515,SMAN 5 MATARAM,Nusa Tenggara Barat,Kota Mataram,SMA
824,21,"515,723",10307309,SMAN 1 PARIAMAN,Sumatera Barat,Kota Pariaman,SMA
825,157,"515,681",20318318,SMK NEGERI 3 JEPARA,Jawa Tengah,Kab. Jepara,SMK
826,158,"515,678",20312172,SMAN KEBAKKRAMAT,Jawa Tengah,Kab. Karanganyar,SMA
827,22,"515,664",10303467,SMAS DON BOSCO,Sumatera Barat,Kota Padang,SMA
828,159,"515,639",20362931,MAN 1 JEPARA,Jawa Tengah,Kab. Jepara,MA
829,18,"515,638",50102366,SMAN 1 SEMARAPURA,Bali,Kab. Klungkung,SMA
830,119,"515,603",20107289,SMA CHARITAS,DKI Jakarta,Kota Jakarta Selatan,SMA
831,122,"515,591",20532146,SMAS KATOLIK STELLA MARIS,Jawa Timur,Kota Surabaya,SMA
832,68,"515,501",20407373,SMKS INDONESIA YOGYAKARTA,DI Yogyakarta,Kota Yogyakarta,SMK
833,123,"515,489",20538394,SMAN 1 KERTOSONO,Jawa Timur,Kab. Nganjuk,SMA
834,2,"515,453",69980514,MAN INSAN CENDEKIA KOTA PALU,Sulawesi Tengah,Kota Palu,MA
835,12,"515,401",30401058,SMA Negeri 3 Samarinda,Kalimantan Timur,Kota Samarinda,SMA
836,120,"515,353",20100223,SMAN 27 JAKARTA,DKI Jakarta,Kota Jakarta Pusat,SMA
