#,NPSN,Sekolah,Provinsi,Rerata,Tertinggi,Terendah,Std. Deviasi,Jenis
1,20109933,SMAN UNGGULAN M.H. THAMRIN,DKI Jakarta,"601,683","653,223","516,063","28,62",SMA
2,20623314,MAN INSAN CENDEKIA SERPONG,Banten,"599,654","661,865","509,688","33,37",MA
3,10263538,SMAS UNGGUL DEL,Sumatera Utara,"598,523","654,295","492,703","28,89",SMA
4,20102568,SMAN 8 JAKARTA,DKI Jakarta,"594,865","653,18","461,575","31,02",SMA
5,20532248,SMAN 5 SURABAYA,Jawa Timur,"594,605","675,373","476,443","31,91",SMA
6,20101306,SMAS 1 KRISTEN BPK PENABUR,DKI Jakarta,"594,437","653,618","485,935","32,85",SMA
7,20219730,SMAS BPK 1 PENABUR BANDUNG,Jawa Barat,"592,52","654,745","498,65","31,75",SMA
8,20104413,SMAS DIAN HARAPAN,DKI Jakarta,"589,811","649,075","499,89","39,79",SMA
9,20403174,SMAN 1 YOGYAKARTA,DI Yogyakarta,"588,002","662,698","429,603","34,25",SMA
10,20532145,SMA KATOLIK ST.LOUIS 1,Jawa Timur,"587,81","651,863","511,763","31,73",SMA
11,30315142,SMAN BANUA KAL SEL,Kalimantan Selatan,"586,834","639,368","492,293","31,42",SMA
12,20403178,SMAN 3 YOGYAKARTA,DI Yogyakarta,"585,96","670,06","488,673","34,08",SMA
13,20107319,SMAN 28 JAKARTA,DKI Jakarta,"585,437","660,613","500,708","30,11",SMA
14,20103301,SMAN 81 JAKARTA,DKI Jakarta,"585,048","656,79","460,648","35,06",SMA
15,20532136,SMAS KRISTEN PETRA 2 SURABAYA,Jawa Timur,"584,729","654,373","506,908","33,06",SMA
16,20100170,SMAS KANISIUS JAKARTA,DKI Jakarta,"584,684","647,395","506,95","32,88",SMA
17,20613520,SMAS SANTA LAURENSIA,Banten,"584,01","640,62","538,883","29,96",SMA
18,20403161,SMAN 8 YOGYAKARTA,DI Yogyakarta,"583,676","658,238","475,623","33,59",SMA
19,20219731,SMAS BINA BHAKTI 1,Jawa Barat,"582,568","637,85","440,128","45,98",SMA
20,20110335,SMAS KRISTEN 6 PENABUR,DKI Jakarta,"582,07","638,375","528,033","29,99",SMA
