Kecamatan,Kelurahan,Belum Bekerja,Aparatur Pejabat Negara,Tenaga Pengajar,Wiraswasta,Pertanian ,Nelayan,Agama dan Kepercayaan,Pelajar dan Mahasiswa,Tenaga Kesehatan,Pensiunan,Lainnya
Mandalajati,Sindang Jaya,2825,524,130,4657,6,1,1,2924,27,310,3037
Arcamanik,Sindanglaya/Cisantren Endah,3694,878,194,6062,19,-,9,4402,80,340,3944
Bojongloa Kidul,Situsaeur,3945,338,164,7314,12,-,4,4599,60,240,4809
Bojongloa Kaler,Suka Asih,3661,217,152,6495,7,-,9,4097,43,130,4631
Sukajadi,Sukabungah,3741,650,182,6969,14,2,10,4688,80,417,4795
Sukajadi,Sukagalih,3062,383,140,6112,4,-,11,3990,147,242,4302
Babakan Ciparay,Sukahaji,5807,204,130,10498,10,-,9,5858,43,104,7947
Cibeunying Kaler,Sukaluyu,2439,666,183,5326,7,-,3,3677,58,458,3189
Cibeunying Kidul,Sukamaju,1947,378,100,3908,1,-,1,2335,20,312,2422
Arcamanik,Sukamiskin,3686,1525,331,6274,12,2,14,4717,158,794,4107
Cinambo,Sukamulya,958,105,64,1998,5,-,-,1100,9,80,1236
Cibeunying Kidul,Sukapada,4315,707,207,7439,3,-,5,4654,45,393,4834
Kiaracondong,Sukapura,5389,988,189,8818,11,-,-,5503,59,577,6322
Cicendo,Sukaraja,4179,890,192,7691,5,-,12,5118,113,383,5013
Sukasari,Sukarasa,2273,279,101,4384,4,-,5,2801,72,175,3116
Sukajadi,Sukawarna,2615,387,175,4527,7,-,8,2905,94,304,3118
Bandung Wetan,Tamansari,3843,520,218,7770,8,-,10,4770,85,412,4978
Lengkong,Turangga,2075,913,205,4590,3,-,7,3787,165,737,2723
Bandung Kulon,Warung Muncang,4083,173,98,7254,8,1,8,4255,23,76,4975
Bandung Kidul,Wates,1643,125,44,2793,13,2,1,1683,17,57,1731
